user_id,activity_date,activity_type,distance,distance_units,time,time_units,speed,speed_units,calories_burned
1,1/1/2025,Running,2.5,miles,28,minutes,5.36,mph,263
1,1/3/2025,Running,3.1,miles,32,minutes,5.81,mph,341
1,1/5/2025,Running,3.4,miles,34,minutes,6,mph,391
1,1/6/2025,Running,4,miles,45.5,minutes,5.27,mph,420
1,1/8/2025,Running,3.1,miles,34,minutes,5.47,mph,326
1,1/10/2025,Running,3.4,miles,35,minutes,5.83,mph,374
1,1/12/2025,Running,3.7,miles,37.75,minutes,5.88,mph,407
1,1/13/2025,Running,4.3,miles,49,minutes,5.27,mph,452
1,1/15/2025,Running,3.4,miles,37,minutes,5.51,mph,357
1,1/17/2025,Running,3.7,miles,38,minutes,5.84,mph,307
1,1/19/2025,Running,4,miles,39,minutes,6.15,mph,360
1,1/20/2025,Running,5,miles,56,minutes,5.36,mph,525
1,1/22/2025,Running,3.7,miles,40,minutes,5.55,mph,389
1,1/24/2025,Running,4,miles,41,minutes,5.85,mph,440
1,1/26/2025,Running,4.3,miles,42,minutes,6.14,mph,495
1,1/27/2025,Running,5.6,miles,63,minutes,5.33,mph,588
